x_first_fluid,fluid,T_turbine_inlet,eta_refprop,eta_tabular,eta_dev_pct,P_net_refprop_kW,P_net_tabular_kW,P_dev_pct,max_h_dev_pct,max_T_dev_K,t_solve_refprop,t_solve_tabular,status
0.0,R1336MZZE,115.38,0.13055843289950164,0.13056395077329072,0.0042263633734993845,225.0885004792179,225.0926223429948,0.0018312191729466826,0.002136161861734032,0.005918125389086981,0.025425483006983995,0.025215418994775973,ok
0.05,PENTANE[0.05]&R1336MZZE[0.95]|mass,122.45231692513619,0.141136740770191,0.14113792434384306,0.0008386006688261378,244.22396014697233,244.2246959123935,0.00030126668191779937,0.0005341464722829658,0.0013243862780996096,0.04963825500453822,0.025783812001463957,ok
0.1,PENTANE[0.10]&R1336MZZE[0.90]|mass,128.72557105038612,0.1477981792542313,0.14779916758797904,0.0006687049547688681,253.40423900649247,253.40474057102077,0.000197930599053463,0.0005094571998849398,0.0011535274742300317,0.04876373700972181,0.02690546899975743,ok
0.15,PENTANE[0.15]&R1336MZZE[0.85]|mass,134.32794378355868,0.15312974934117796,0.1531310909385847,0.0008761180714544711,259.15879942935067,259.15934172447976,0.00020925206100968525,0.0007793523351932627,0.001573285186452722,0.0607951980055077,0.030404624005313963,ok
0.2,PENTANE[0.20]&R1336MZZE[0.80]|mass,139.36159187142607,0.15837721359682766,0.15837827351416325,0.0006692360040455367,264.68656308940814,264.68689541054795,0.0001255527050294752,0.0006862256483737918,0.00125524748011685,0.0600678320042789,0.03172072699817363,ok
0.25,PENTANE[0.25]&R1336MZZE[0.75]|mass,143.90893308524278,0.16347060125835616,0.16347166802567892,0.0006525744167716959,267.65873602553097,267.6547524583731,0.0014883008180642846,0.0007818592257524909,0.003479785914578315,0.055396240000845864,0.02651221699488815,ok
0.3,PENTANE[0.30]&R1336MZZE[0.70]|mass,148.03719405120455,0.16837024797822361,0.16837090606944366,0.0003908595657180025,262.0350644473394,262.0323411309882,0.001039294629112897,0.0005248673225723804,0.002208503426288644,0.057699324999703094,0.02668327299761586,ok
0.35,PENTANE[0.35]&R1336MZZE[0.65]|mass,150.0,0.17211651427405836,0.17211798229447572,0.000852922465667185,255.6655705668508,255.66061886219606,0.0019367897850894333,0.0012732242050517842,0.004109935809765375,0.05683429600321688,0.03081597299023997,ok
0.4,PENTANE[0.40]&R1336MZZE[0.60]|mass,150.0,0.1746474842320182,0.1746477757295606,0.00016690623611977302,250.18865089772802,250.18752174081843,0.0004513221944909009,0.00027521475520205174,0.0008780668283634441,0.06147424801019952,0.0306476949917851,ok
0.45,PENTANE[0.45]&R1336MZZE[0.55]|mass,150.0,0.1769951176232237,0.17699479169298554,0.00018414645699638122,246.13195228034292,246.13266579339887,0.00028989046295925053,0.00036416479762370254,0.000653376357831803,0.0663659599958919,0.03841334700700827,ok
0.5,PENTANE[0.50]&R1336MZZE[0.50]|mass,150.0,0.17919953416924614,0.17919941640614717,6.57161858778079e-05,243.0018100424543,243.00197770530218,6.899654280050843e-05,0.0001507932850517998,0.00018101440537066082,0.05975821599713527,0.030447490004007705,ok
0.55,PENTANE[0.55]&R1336MZZE[0.45]|mass,150.0,0.18080417944100444,0.18080423221607192,2.918907496827101e-05,239.5874912443911,239.58723436780448,0.00010721619282803953,6.299024330506157e-05,0.00017906653278032536,0.07411791800404899,0.03682400399702601,ok
0.6,PENTANE[0.60]&R1336MZZE[0.40]|mass,150.0,0.18196453800221304,0.18196478081756828,0.0001334410308211953,236.0254815309483,236.02486780926037,0.0002600234872717564,0.0003201360742732814,0.0005054844796177349,0.0741297630011104,0.03224251799110789,ok
0.65,PENTANE[0.65]&R1336MZZE[0.35]|mass,150.0,0.18302767792034705,0.18302780190812212,6.774263678779649e-05,232.84437751402334,232.8440352579063,0.00014698921257049925,0.00018188767912756217,0.00027051246394194095,0.06916977600485552,0.036010270996484905,ok
0.7,PENTANE[0.70]&R1336MZZE[0.30]|mass,150.0,0.18400891678753886,0.18400892309836042,3.4296281234352646e-06,229.9677223054816,229.9676314301097,3.951657693487056e-05,2.3907554607739078e-05,5.313899839620717e-05,0.06910924600379076,0.034602604995598085,ok
