x_first_fluid,fluid,T_turbine_inlet,eta_refprop,eta_tabular,eta_dev_pct,P_net_refprop_kW,P_net_tabular_kW,P_dev_pct,max_h_dev_pct,max_T_dev_K,t_solve_refprop,t_solve_tabular,status
0.0,R1233ZDE,150.0,0.1665147623576879,0.16651072168699096,0.0024266140969805847,257.39677833775266,257.40973193750483,0.005032541524341909,0.002520396058400515,0.011440527788238342,0.026228098000046884,0.02945512999986022,ok
0.05,CYCLOPEN[0.05]&R1233ZDE[0.95]|mass,150.0,0.17125462999704563,0.17125739345512786,0.0016136545226692264,246.13050918359974,246.12273018895908,0.003160516210063571,0.0014650287850530798,0.0068030272192345365,0.054309586999806925,0.0289889900000162,ok
0.1,CYCLOPEN[0.10]&R1233ZDE[0.90]|mass,150.0,0.17507394599097675,0.17507326062665549,0.0003914713393751865,239.55671635803046,239.5582969678193,0.0006598060838684524,0.0003332247448668863,0.0014255346545724024,0.053602684999987105,0.030584191999878385,ok
0.15,CYCLOPEN[0.15]&R1233ZDE[0.85]|mass,150.0,0.1778891838664193,0.17788949268039417,0.0001735990733961923,235.05758556647237,235.05685483567373,0.00031087309812853045,0.00015550190486233323,0.0006341729458085865,0.0508009380000658,0.027336980999734806,ok
0.2,CYCLOPEN[0.20]&R1233ZDE[0.80]|mass,150.0,0.17833825468166106,0.17833819466084294,3.3655604754187356e-05,228.65357466721937,228.65364911396756,3.255875106913297e-05,3.816299783239072e-05,8.407435899471238e-05,0.05119241600004898,0.03333235199988849,ok
0.25,CYCLOPEN[0.25]&R1233ZDE[0.75]|mass,150.0,0.1786288136923231,0.17862881341457343,1.5548985554005966e-07,223.7040064270182,223.7039867118306,8.81306861947081e-06,4.007798784316845e-06,1.0734670865986118e-05,0.05611378200001127,0.030126891000236355,ok
0.3,CYCLOPEN[0.30]&R1233ZDE[0.70]|mass,150.0,0.1788849505743321,0.17888504473787864,5.263916625805244e-05,219.75771020152064,219.75758606769094,5.6486677799307e-05,6.015521699084785e-05,0.00013270253839436918,0.05484331299976475,0.032066468999801145,ok
0.35,CYCLOPEN[0.35]&R1233ZDE[0.65]|mass,150.0,0.17918925793296278,0.17918926050453374,1.4351144626872967e-06,216.5269548410004,216.5269386643553,7.4709613415131795e-06,4.701933601669528e-06,1.0651032994246634e-05,0.06068056999993132,0.02921110699981,ok
0.4,CYCLOPEN[0.40]&R1233ZDE[0.60]|mass,150.0,0.17959735023883086,0.1795973873714655,2.0675491361317852e-05,213.82491048010047,213.82488319931633,1.2758468635450511e-05,2.597380133396868e-05,3.938972031392041e-05,0.055233535999832384,0.028942134999851987,ok
0.45,CYCLOPEN[0.45]&R1233ZDE[0.55]|mass,150.0,0.18014711631048952,0.18014712545893038,5.078316574438849e-06,211.52742368242585,211.52741289746,5.098613527256357e-06,9.814140546183071e-06,1.1823030490631936e-05,0.052656726999884995,0.03159862800021074,ok
