x_first_fluid,fluid,T_turbine_inlet,eta_refprop,eta_tabular,eta_dev_pct,P_net_refprop_kW,P_net_tabular_kW,P_dev_pct,max_h_dev_pct,max_T_dev_K,t_solve_refprop,t_solve_tabular,status
0.0,R1336MZZE,115.38,0.13055843289950164,0.13056395077329072,0.0042263633734993845,225.0885004792179,225.0926223429948,0.0018312191729466826,0.002136161861734032,0.005918125389086981,0.03371575099299662,0.03433289499662351,ok
0.05,R1336MZZZ[0.05]&R1336MZZE[0.95]|mass,117.42841815023075,0.13329156921985869,0.13329217255815826,0.00045264550721548635,230.0731426397812,230.07357602943347,0.0001883703796539603,0.00023596282772258157,0.0006603402811151682,0.06761253999138717,0.03297267599555198,ok
0.1,R1336MZZZ[0.10]&R1336MZZE[0.90]|mass,119.47684491590064,0.13599181118316983,0.13599174999321723,4.499532146272214e-05,234.9211987239044,234.9211563464425,1.803901143854918e-05,2.4086069100682996e-05,6.630755268588473e-05,0.06095090199960396,0.0400570359925041,ok
0.15,R1336MZZZ[0.15]&R1336MZZE[0.85]|mass,121.52528029706383,0.1386496837257555,0.138649418919867,0.00019098917601458298,239.58914081616322,239.58897119088692,7.079839917697497e-05,0.00010734120124331903,0.0002943173140579347,0.0621133949898649,0.03841664000356104,ok
0.2,R1336MZZZ[0.20]&R1336MZZE[0.80]|mass,123.57372429377477,0.14125839714520885,0.1412578944286814,0.00035588434926458573,244.04048958101475,244.04018517548676,0.00012473566518458513,0.00020611865541729418,0.0005640992441726667,0.06223552800656762,0.03457806300139055,ok
0.25,R1336MZZZ[0.25]&R1336MZZE[0.75]|mass,125.62217690608793,0.1438140444784713,0.1438165419698073,0.0017366115702221912,248.24692910754996,248.2483529889854,0.0005735746422167943,0.001034179841903001,0.002850093784729779,0.0621819819934899,0.03676201400230639,ok
0.3,R1336MZZZ[0.30]&R1336MZZE[0.70]|mass,127.67063813405753,0.14621733793220631,0.14622039511845258,0.002090850708612016,251.94716182987685,251.9487874584616,0.0006452259961734567,0.0012804412394736816,0.003531629081749088,0.07003300900396425,0.03549031598959118,ok
0.35,R1336MZZZ[0.35]&R1336MZZE[0.65]|mass,129.71910797773785,0.14791323825219246,0.14791804295518338,0.003248325199074198,253.75667088250222,253.75904143086262,0.0009341816915232678,0.0020327737076705223,0.005612958470976537,0.06820921099279076,0.03749903800780885,ok
0.4,R1336MZZZ[0.40]&R1336MZZE[0.60]|mass,131.76758643718347,0.14970634117249942,0.14970599598124384,0.00023057891394318977,255.63467992434965,255.63450685992083,6.769990240479308e-05,0.00014199402486118987,0.0003859705309992023,0.06941245100460947,0.036910162001731806,ok
0.45,R1336MZZZ[0.45]&R1336MZZE[0.55]|mass,133.81607351244855,0.15160883387160998,0.1516138277459228,0.0032939204037769594,257.5987583796979,257.60085647673105,0.0008144825876971054,0.0021398980634985557,0.005932679737327362,0.06041695400199387,0.03564298299897928,ok
0.5,R1336MZZZ[0.50]&R1336MZZE[0.50]|mass,135.8645692035875,0.1536347981302072,0.15363768529938163,0.0018792416884516805,259.6691271853024,259.6702407262308,0.00042883069716434497,0.0012402155294626849,0.003474156450351984,0.07491396299155895,0.04190770199056715,ok
0.55,R1336MZZZ[0.55]&R1336MZZE[0.45]|mass,137.91307351065473,0.15580076778832488,0.15580061785322669,9.623514718609579e-05,261.8692293673441,261.86917490489225,2.0797575935119404e-05,6.39678283745435e-05,0.00017432191089028493,0.06843646999914199,0.03686161599762272,ok
0.6,R1336MZZZ[0.60]&R1336MZZE[0.40]|mass,139.9615864337046,0.1581263881496608,0.1581285477797151,0.0013657619576258474,264.2264762158521,264.22714910807605,0.00025466495016373246,0.0009316011998789945,0.002655300615572287,0.07122761900245678,0.04245419800281525,ok
0.65,R1336MZZZ[0.65]&R1336MZZE[0.35]|mass,142.0101079727914,0.1606352372330269,0.16063370642709252,0.0009529701955453914,266.7732415596553,266.7728204902862,0.0001578379325423013,0.0006600912596574442,0.0017972785753954668,0.1127577159932116,0.09024906800186727,ok
0.7,R1336MZZZ[0.70]&R1336MZZE[0.30]|mass,144.05863812796946,0.1633558924803793,0.16335175060981058,0.002535488929002664,269.5482079803571,269.5472113621056,0.00036973655250292114,0.0017790954066349142,0.004845076813808191,0.08540660099242814,0.047157589011476375,ok
0.75,R1336MZZZ[0.75]&R1336MZZE[0.25]|mass,146.10717689929322,0.16632335914782814,0.1663202505093585,0.0018690330002756727,272.59821222456964,272.59759074358044,0.00022798424983205872,0.0013333731828939562,0.0036331983809532176,0.09003505700093228,0.04563335899729282,ok
0.8,R1336MZZZ[0.80]&R1336MZZE[0.20]|mass,148.15572428681708,0.16958104055686593,0.16957532510173456,0.0033703385193287186,275.98082589182405,275.97990934698123,0.00033210453656034005,0.0024413480085396237,0.0066564845017751395,0.07262271898798645,0.04405434000364039,ok
0.85,R1336MZZZ[0.85]&R1336MZZE[0.15]|mass,150.0,0.1719501307799838,0.17194315992941953,0.004053995500125645,274.18579027777474,274.2139024807801,0.010252975902543236,0.005040587349608851,0.022642683671790564,0.07874451400130056,0.03649608099658508,ok
0.9,R1336MZZZ[0.90]&R1336MZZE[0.10]|mass,150.0,0.17362024732659842,0.17361666578389356,0.0020628600408099346,267.17812673393814,267.19103726520973,0.004832181222845038,0.0023158356375656375,0.010527457174816846,0.07190230800188147,0.0429097099986393,ok
0.95,R1336MZZZ[0.95]&R1336MZZE[0.05]|mass,150.0,0.17533749386471428,0.17533809383481358,0.0003421801498767777,260.7441602595079,260.7410335266845,0.001199157373388617,0.000494673001008617,0.0022733719150096476,0.06645977399602998,0.039920306007843465,ok
1.0,R1336MZZZ,150.0,0.17716629155722463,0.17717106193643453,0.002692599798737631,254.71573002878893,254.69805358059443,0.006939676710384168,0.0029571307315605973,0.01373034561595432,0.03482597200491,0.03976784800761379,ok
