x_first_fluid,fluid,T_turbine_inlet,eta_refprop,eta_tabular,eta_dev_pct,P_net_refprop_kW,P_net_tabular_kW,P_dev_pct,max_h_dev_pct,max_T_dev_K,t_solve_refprop,t_solve_tabular,status
0.0,BUTANE,136.97500000000002,0.15523327463918013,0.15523463891503406,0.000878855295102044,262.6377613195085,262.6383593291348,0.0002276936961703388,0.0009508018546083402,0.0014440850299024532,0.051365784005611204,0.050190664987894706,ok
0.05,CYCLOPEN[0.05]&BUTANE[0.95]|mass,140.59424400888713,0.16188927802353173,0.16188733975812852,0.00119727842811465,278.81908761190147,278.81838721855405,0.0002511999280300825,0.0014983390162932356,0.0021239971285922365,0.11980529499123804,0.04836703899491113,ok
0.1,CYCLOPEN[0.10]&BUTANE[0.90]|mass,144.2765498195826,0.16425978190826107,0.16425697710684486,0.0017075399611651706,270.3230996743145,270.3325842487533,0.003508606719218454,0.0023487844303695807,0.008522181105718118,0.09319774000323378,0.041599677002523094,ok
0.15,CYCLOPEN[0.15]&BUTANE[0.85]|mass,148.0235801030114,0.1657012789966399,0.16569992901620417,0.0008147073117907623,258.04292354360274,258.0470920413004,0.0016154280227561508,0.0012296301323828827,0.003755135011829225,0.09733311600575689,0.04217058299400378,ok
0.2,CYCLOPEN[0.20]&BUTANE[0.80]|mass,150.0,0.16654039925946285,0.16654205824120527,0.0009961437283697433,245.77692556544847,245.77187327288485,0.002055641534287699,0.0016117537972752116,0.0044665595996775664,0.10056620999239385,0.04370857200410683,ok
0.25,CYCLOPEN[0.25]&BUTANE[0.75]|mass,150.0,0.16631169684060215,0.16631176145990567,3.8854334810335514e-05,235.49272366513898,235.49240362881216,0.00013590072841545217,6.541776880250832e-05,0.0002453056773674689,0.09837880999839399,0.03486600599717349,ok
0.3,CYCLOPEN[0.30]&BUTANE[0.70]|mass,150.0,0.16591679452913788,0.16591666954997722,7.532640744063238e-05,227.5841709592497,227.58442653308992,0.00011229860106604851,0.00016096556046093,0.00025505014946247684,0.10536032599338796,0.044885083989356644,ok
0.35,CYCLOPEN[0.35]&BUTANE[0.65]|mass,150.0,0.16547354985225465,0.16547372072129912,0.00010326063870728602,221.29678109366895,221.29646692602049,0.00014196665984754286,0.00019073030439797732,0.00032492572637465855,0.0939166049938649,0.04298400400148239,ok
0.4,CYCLOPEN[0.40]&BUTANE[0.60]|mass,150.0,0.16507294441177425,0.16507295324086824,5.348601501693412e-06,216.16770430608477,216.16765881433076,2.1044657967889063e-05,1.4037511260645227e-05,3.4235920622904814e-05,0.08948326100653503,0.035161103005521,ok
0.45,CYCLOPEN[0.45]&BUTANE[0.55]|mass,150.0,0.1647916363324804,0.16479167401561162,2.2867138202640006e-05,211.90220534310782,211.9021698744639,1.6738213676354752e-05,3.415056269746868e-05,5.043652839731294e-05,0.08290731099259574,0.048444836007547565,ok
0.5,CYCLOPEN[0.50]&BUTANE[0.50]|mass,150.0,0.16469955688255242,0.16469956439428018,4.560867017353695e-06,208.30845439522963,208.30843416398687,9.712156338663364e-06,8.491290694196273e-06,1.787499041938645e-05,0.08509372698608786,0.03456519699830096,ok
0.55,CYCLOPEN[0.55]&BUTANE[0.45]|mass,150.0,0.1648656636032818,0.16486570778347787,2.6797694008275173e-05,205.26071877430923,205.26068711408513,1.5424395025402946e-05,5.374857085319989e-05,5.204251897339418e-05,0.08518150501186028,0.03367444900504779,ok
0.6,CYCLOPEN[0.60]&BUTANE[0.40]|mass,150.0,0.16536324003178796,0.16536324740238653,4.457217078294268e-06,202.67787464118695,202.67786775200446,3.3990796967348708e-06,4.773174597581238e-06,9.531387490824272e-06,0.08356825100781862,0.031040332003613003,ok
0.65,CYCLOPEN[0.65]&BUTANE[0.35]|mass,150.0,0.16627584489401467,0.16627587163243668,1.608076147280096e-05,200.5108168297436,200.51080266047768,7.066584304000333e-06,4.064259736252205e-05,2.7625213476767385e-05,0.07987174599838909,0.03474060699227266,ok
0.7,CYCLOPEN[0.70]&BUTANE[0.30]|mass,150.0,0.16770500351404843,0.1677050094954885,3.5666437733750985e-06,198.73578646772566,198.73578484616226,8.159393071240775e-07,5.639554598973243e-06,5.138961682860099e-06,0.06827921399963088,0.03347543899144512,ok
0.75,CYCLOPEN[0.75]&BUTANE[0.25]|mass,150.0,0.16978135905075759,0.16978138783036384,1.6950981199937728e-05,197.35251016455197,197.35249872682255,5.795583454779471e-06,6.907231770914685e-05,2.6157384070302214e-05,0.06658989100833423,0.02860597599647008,ok
0.8,CYCLOPEN[0.80]&BUTANE[0.20]|mass,150.0,0.17268240602718748,0.1726824082158347,1.2674407649658691e-06,196.38778299552112,196.38777965631735,1.7003113540077295e-06,0.0004201951231311487,3.8273548170764116e-06,0.07008149000466801,0.03121362101228442,ok
0.85,CYCLOPEN[0.85]&BUTANE[0.15]|mass,150.0,0.1766632028278196,0.17666322194724668,1.0822529402441831e-05,195.9077989045789,195.90778616291357,6.503909186456987e-06,0.00014007812292031585,1.8998658106283983e-05,0.06887884899333585,0.03005330300948117,ok
