file,fluid,failed_points,filled_points,n_refprop_missing,dT_sat_max_K,n_overall,dT_K_p99_overall,dT_K_max_overall,ds_JkgK_p99_overall,ds_JkgK_max_overall,dd_pct_p99_overall,dd_pct_max_overall,n_liquid,dT_K_p99_liquid,dT_K_max_liquid,ds_JkgK_p99_liquid,ds_JkgK_max_liquid,dd_pct_p99_liquid,dd_pct_max_liquid,n_twophase,dT_K_p99_twophase,dT_K_max_twophase,ds_JkgK_p99_twophase,ds_JkgK_max_twophase,dd_pct_p99_twophase,dd_pct_max_twophase,n_vapor,dT_K_p99_vapor,dT_K_max_vapor,ds_JkgK_p99_vapor,ds_JkgK_max_vapor,dd_pct_p99_vapor,dd_pct_max_vapor,n_supercritical,dT_K_p99_supercritical,dT_K_max_supercritical,ds_JkgK_p99_supercritical,ds_JkgK_max_supercritical,dd_pct_p99_supercritical,dd_pct_max_supercritical,n_nearcrit,dT_K_p99_nearcrit,dT_K_max_nearcrit,ds_JkgK_p99_nearcrit,ds_JkgK_max_nearcrit,dd_pct_p99_nearcrit,dd_pct_max_nearcrit
CYCLOPEN_BUTANE_mass_0.00_1.00.npz,BUTANE,0,0,0,0.0011394386374377063,2000,0.003713886897855325,0.04865561715689637,0.004910201623922603,0.028625474690443298,0.0033900640158225654,0.20349972556336585,390,0.015273011076582828,0.04865561715689637,0.017060602188189514,0.028625474690443298,0.042073030485564177,0.20349972556336585,655,4.8521769543868155e-05,0.0011466926210346173,0.002371735064316456,0.018679574986890657,0.003033542448160071,0.1762993827871424,684,0.007259173811713701,0.0245764438377023,0.001146887092118043,0.0052506102128973,0.0008217388431613984,0.003393402612034037,271,0.00016159305434939607,0.0007644497845262777,5.8245742968665955e-05,0.00013630046009893704,0.00047207175489230217,0.009236127800902494,78,0.03479588213894438,0.04865561715689637,0.026017137607966576,0.028625474690443298,0.1825554616256739,0.20349972556336585
CYCLOPEN_BUTANE_mass_0.05_0.95.npz,CYCLOPEN[0.05]&BUTANE[0.95]|mass,0,0,0,7.872963715271908e-05,2000,0.001763380736351223,0.024779982066718276,0.004208048190532734,6.75812481146113,0.0022423089275052095,2.914995075583805,379,0.002399652717465398,0.017881119404194123,0.007470686143783345,0.018426752758841758,0.0033127302136880294,0.04709101948947461,673,3.0844314767363844e-05,0.0032328705933082347,0.005414023818047999,6.75812481146113,0.002075453353799839,2.914995075583805,689,0.0024468898307645763,0.024779982066718276,0.0004896363903208114,0.005598180083325133,0.0006461460586746938,0.00433815582141749,259,0.0027186538984403305,0.01045440971432754,0.00014026836778384554,0.0007504074560529261,0.014947646627354264,0.05574930397111905,76,0.01960583506982516,0.024779982066718276,1.7151349011704724,6.75812481146113,0.8056537154544274,2.914995075583805
CYCLOPEN_BUTANE_mass_0.10_0.90.npz,CYCLOPEN[0.1]&BUTANE[0.9]|mass,0,0,0,0.0029457250188329454,2000,0.001155612854842047,0.28581209028300236,0.0017057944695034143,13.61956107964761,0.002269386423400233,7.751937393396455,362,0.0021418544467599067,0.00904273146346668,0.006149348275516763,0.00980223829105853,0.004211164987602272,0.02564549151803315,691,3.281538700434801e-05,0.00017945001820862672,0.0004297075513136447,0.005150473221874563,0.0011079738043833977,0.03570417877900553,692,0.0018964238735503637,0.011765363246183824,0.00044391275241650874,0.003917918919341901,0.0006427554004629656,0.0037080178670256523,255,0.06156537315474892,0.28581209028300236,0.003436045416056054,13.61956107964761,0.31098581262377606,7.751937393396455,70,0.2553807763419844,0.28581209028300236,4.230442127285445,13.61956107964761,4.103705709144307,7.751937393396455
CYCLOPEN_BUTANE_mass_0.15_0.85.npz,CYCLOPEN[0.15]&BUTANE[0.85]|mass,0,0,0,0.006030333090450313,2000,0.0020364543167426053,0.02409722382014934,0.001964417857470828,0.012366352938670389,0.003863941803784953,0.2282503307123277,355,0.003393417347139094,0.005541642849834716,0.010384602018084468,0.012366352938670389,0.007671871347085146,0.013025488929615203,706,4.3669315135731175e-05,0.00029443042888033233,0.0008574889053761621,0.010705406351007696,0.004165950504815962,0.07187065149081259,698,0.0027075759937378037,0.02409722382014934,0.0009107586488471478,0.012347408068308141,0.001235240057317562,0.039971691920630784,241,0.0022030229137271736,0.00826176407241519,0.00011128704798011307,0.0014718805027769122,0.013469238157082787,0.2282503307123277,62,0.019344120926913892,0.02409722382014934,0.012354796567749418,0.012366352938670389,0.13285872638720359,0.2282503307123277
CYCLOPEN_BUTANE_mass_0.20_0.80.npz,CYCLOPEN[0.2]&BUTANE[0.8]|mass,0,0,0,0.007073457735486954,2000,0.0014862100161656144,0.047584577414966134,0.0034287376591851165,9.604163008163141,0.002706807240204504,3.3148582053383233,347,0.0017570805114894583,0.010111028949609135,0.0057414654840386,0.01574465581597906,0.0028670172209380187,0.02702423970733761,720,2.3166279212886896e-05,0.00047112914904801073,0.0008748666799533549,0.010960583289488568,0.005542402784645306,0.04325737216821043,699,0.0020085379300485264,0.007940800221376776,0.0006306839674562069,0.0029262263715281733,0.0006170630219060703,0.0027062653583216053,234,0.026049484865180786,0.047584577414966134,0.14804006158118674,9.604163008163141,0.21216658033119568,3.3148582053383233,56,0.04000386199073777,0.047584577414966134,4.437377223596108,9.604163008163141,1.66918743886267,3.3148582053383233
CYCLOPEN_BUTANE_mass_0.25_0.75.npz,CYCLOPEN[0.25]&BUTANE[0.75]|mass,0,0,0,0.007320259247080685,2000,0.0012003159122963324,0.6522606581340256,0.0028269182594442546,14.020250736343769,0.002630389831676128,14.85382398979214,343,0.001413611041256212,0.02162055210425251,0.005492903650333561,0.012038610112313108,0.0028873684658245794,0.07357095786711104,730,4.02827998777874e-05,0.6522606581340256,0.0007900725441822947,14.020250736343769,0.004252029521134574,14.85382398979214,702,0.0018708658777291027,0.011306037217082121,0.0006627555483009942,0.004369161181784875,0.0008523702855949998,0.010266383004939872,225,0.0009409930569972776,0.5090870662213547,0.00013266981883134564,0.06395072722443729,0.004084822718824391,4.010445220977792,53,0.5778103903394363,0.6522606581340256,6.762974731601673,14.020250736343769,9.215267030008645,14.85382398979214
CYCLOPEN_BUTANE_mass_0.30_0.70.npz,CYCLOPEN[0.3]&BUTANE[0.7]|mass,0,0,0,0.00846685256379942,2000,0.0012459178289122956,0.026439220654310702,0.002936620917292884,0.012773055627803842,0.0029574992740604785,0.09148812739963907,332,0.0028113705173592493,0.025089114409524882,0.0060691714299923654,0.012773055627803842,0.006313148734152181,0.09148812739963907,746,7.350823063063616e-05,0.0005381181126153933,0.0008126484432977898,0.012195516377687454,0.002895083578789055,0.04938698849193499,704,0.004163586166937468,0.026439220654310702,0.0010692957171113543,0.010950933942240226,0.0015651864688282532,0.02626240228499318,218,0.00029867149068252096,0.0056350145678720764,0.00011976789731534065,0.00014713577047587023,0.0006866151240266918,0.04739417164886347,52,0.025750666469469937,0.026439220654310702,0.012478510610244485,0.012773055627803842,0.07001654655671008,0.09148812739963907
CYCLOPEN_BUTANE_mass_0.35_0.65.npz,CYCLOPEN[0.35]&BUTANE[0.65]|mass,0,0,0,0.008726170427792113,2000,0.0012391601214528682,0.09911972697682359,0.003622467103477902,0.013732658680510212,0.003117312610671145,0.8884424314333241,325,0.002339859400801729,0.004914163945329619,0.005800187781724152,0.013732658680510212,0.004039452428832158,0.013670663142752006,753,8.84390279293262e-05,0.0006520012182704704,0.001809488698481812,0.012506746307735739,0.003222841369572488,0.05325111818181551,706,0.002734542666141239,0.025583965905696004,0.0006936233646456506,0.011392612034796912,0.0011831761658512747,0.027539848948515792,216,0.000604005565179475,0.09911972697682359,0.0001389786070461694,0.001623191399858115,0.006299557025369907,0.8884424314333241,53,0.060881131219837015,0.09911972697682359,0.013095184246667483,0.013732658680510212,0.454142948542537,0.8884424314333241
CYCLOPEN_BUTANE_mass_0.40_0.60.npz,CYCLOPEN[0.4]&BUTANE[0.6]|mass,0,0,0,0.009049331512073877,2000,0.0011996105142389958,0.09086590061974675,0.00382622493855251,0.013970046764370636,0.003558181131578842,0.7714353540259831,328,0.002408733910720014,0.013844934101769013,0.006075824114084306,0.013970046764370636,0.004850239555466564,0.039028675582386096,752,0.0001624636506795697,0.0006665053117558273,0.002041885985947839,0.01115875313325887,0.004661124435811349,0.032591092647269324,709,0.0035744639658218925,0.021479122879270562,0.0007567833884422674,0.010105735631441348,0.001600652068626932,0.02452148212928195,211,0.0002735930768153595,0.09086590061974675,0.0001498034773931071,0.002267640023092099,0.0007895676855376251,0.7714353540259831,52,0.05547864397210404,0.09086590061974675,0.01266483868750584,0.013970046764370636,0.39790794801975005,0.7714353540259831
CYCLOPEN_BUTANE_mass_0.45_0.55.npz,CYCLOPEN[0.45]&BUTANE[0.55]|mass,0,0,0,0.009450091375299507,2000,0.0014073700898813953,0.093998387429167,0.004114984250091993,0.014314306840560675,0.004209787741026275,0.600897603676021,329,0.0026098282144084634,0.01816801538211621,0.010276665794754043,0.014314306840560675,0.0047297382177925685,0.05234034954772277,748,0.0002183359105015367,0.0006752242545644549,0.00215882449093438,0.009031135221903241,0.005911574802985166,0.02304372696839876,714,0.0033614007640704814,0.01983904926385094,0.0010684299418699098,0.00804512323338713,0.0013655973253459078,0.019520332956109523,209,0.00027277920483129484,0.093998387429167,0.0001645526391371269,0.002742176267929608,0.003941360547675173,0.600897603676021,49,0.058401905109814994,0.093998387429167,0.013475515359341437,0.014314306840560675,0.3375901216944357,0.600897603676021
